f1,f2,f3,f4,f5,ax,ay,az,posture,label
1097.7,265.0,501.5,3357.3,238.0,-2564.8,-603.6,-15464.0,A,
1098.6,265.0,501.6,3357.6,238.3,-2581.2,-488.0,-15437.2,A,
1098.3,265.1,501.6,3358.0,238.3,-2565.2,-406.8,-15372.0,A,
1097.8,264.4,501.8,3358.4,238.3,-2525.6,-326.4,-15385.6,A,
1103.7,269.3,501.7,3358.6,238.9,-2459.6,-315.2,-15426.0,A,
1107.3,268.6,500.1,3358.9,238.6,-2406.8,-269.2,-15542.0,A,
1107.6,268.6,498.0,3359.5,239.1,-2357.6,-207.2,-15586.0,A,
1108.4,269.8,497.6,3360.8,239.1,-2400.4,-167.6,-15598.4,A,
1108.8,269.3,497.2,3359.7,237.6,-2413.6,-179.2,-15648.8,A,
1110.4,269.4,497.3,3359.8,238.2,-2410.4,-184.4,-15712.0,A,
1110.2,268.6,497.3,3359.9,240.0,-2412.4,-202.4,-15781.2,A,
1110.3,268.4,497.1,3359.9,240.2,-2415.2,-294.0,-15865.6,A,
1110.1,268.7,497.5,3360.7,240.5,-2406.4,-307.2,-16006.8,A,
1108.5,268.4,497.7,3360.3,240.1,-2394.8,-319.6,-16061.6,A,
1104.0,266.8,497.7,3359.2,240.3,-2418.0,-350.4,-16072.4,A,
1101.1,267.2,499.1,3360.0,240.7,-2441.2,-371.2,-16036.4,A,
1100.8,267.5,498.7,3359.2,240.1,-2545.2,-458.8,-15990.4,A,
1101.0,267.6,498.6,3357.9,240.2,-2528.0,-557.2,-16020.0,A,
1100.7,267.6,499.0,3358.7,240.9,-2563.6,-594.0,-15935.2,A,
1099.1,267.3,498.9,3358.8,240.4,-2533.2,-606.4,-15876.8,A,
1099.4,268.0,498.9,3358.8,239.3,-2511.2,-588.8,-15768.0,A,
1099.3,267.7,498.9,3358.9,238.6,-2468.8,-542.0,-15724.4,A,
1097.6,265.5,499.6,3358.7,238.4,-2475.2,-590.8,-15629.6,A,
1099.2,266.5,499.1,3358.9,238.5,-2555.6,-716.8,-15582.0,A,
1096.8,267.4,496.9,3360.0,238.5,-2580.4,-815.2,-15572.4,A,
1097.2,267.2,495.3,3359.6,238.4,-2642.8,-981.2,-15517.2,A,
1097.0,267.0,500.4,3360.0,238.4,-2600.8,-1062.0,-15534.0,A,
1097.2,267.2,501.2,3361.9,238.4,-2620.8,-1144.0,-15472.0,A,
1096.6,267.7,501.4,3361.9,236.8,-2599.6,-1236.0,-15516.8,A,
1097.4,267.6,501.1,3361.7,237.0,-2607.2,-1335.2,-15541.2,A,
1097.2,267.0,501.4,3361.6,236.5,-2599.6,-1411.6,-15614.0,A,
1096.0,267.5,501.4,3361.3,237.3,-2573.6,-1496.8,-15620.4,A,
1097.7,270.1,500.3,3361.4,236.8,-2537.2,-1521.6,-15665.6,A,
1096.2,270.1,499.4,3360.9,236.7,-2438.0,-1455.2,-15729.2,A,
1097.5,268.8,499.4,3360.3,236.9,-2416.0,-1433.6,-15779.6,A,
1098.0,265.7,500.4,3360.3,236.9,-2319.6,-1297.6,-15858.8,A,
1097.3,265.8,495.3,3359.2,235.9,-2327.6,-1250.4,-15871.2,A,
1096.3,265.9,494.6,3357.0,235.4,-2293.2,-1209.2,-15910.4,A,
1096.5,265.2,494.1,3356.1,239.5,-2290.4,-1164.0,-15882.8,A,
1095.7,265.1,494.4,3356.1,240.0,-2296.8,-1135.2,-15872.4,A,
1096.7,265.2,494.0,3355.8,240.1,-2290.8,-1150.4,-15842.0,A,
1097.2,265.1,494.0,3355.2,239.1,-2307.6,-1116.8,-15819.2,A,
1097.2,264.2,494.0,3355.1,239.8,-2323.2,-1128.8,-15785.2,A,
1097.8,263.7,495.1,3355.7,240.1,-2299.6,-1124.0,-15758.0,A,
1098.6,263.6,495.9,3356.5,239.4,-2298.0,-1108.4,-15710.0,A,
1099.5,266.6,496.7,3356.2,239.2,-2324.8,-1171.6,-15658.8,A,
1099.7,266.4,496.7,3361.2,240.4,-2309.6,-1218.4,-15652.8,A,
1100.8,266.4,496.6,3361.6,240.9,-2312.4,-1272.0,-15632.0,A,
1101.0,267.1,496.9,3361.9,238.6,-2308.0,-1390.4,-15660.0,A,
1101.6,267.4,496.8,3362.2,238.4,-2274.8,-1458.4,-15722.4,A,
1100.3,267.9,496.7,3362.4,238.4,-2242.4,-1474.4,-15765.2,A,
1100.2,268.0,496.8,3363.6,239.1,-2226.0,-1560.0,-15810.4,A,
1100.7,268.3,497.4,3363.6,239.1,-2158.8,-1553.6,-15864.4,A,
1101.6,268.6,497.6,3363.3,238.8,-2174.4,-1629.2,-15828.0,A,
1101.1,270.2,498.9,3363.7,239.0,-2166.8,-1744.0,-15808.0,A,
1099.6,269.8,498.3,3366.2,239.0,-2121.6,-1833.2,-15798.0,A,
1100.3,270.2,498.3,3362.3,237.5,-2065.6,-1879.6,-15771.2,A,
1098.8,270.2,498.2,3362.6,237.5,-2044.0,-1942.4,-15774.4,A,
1097.5,270.2,497.9,3362.8,237.5,-2002.4,-1996.8,-15821.2,A,
1096.5,269.5,498.1,3362.8,237.5,-1971.2,-2014.0,-15831.6,A,
1097.2,266.4,498.1,3362.9,237.2,-1928.4,-2020.0,-15822.8,A,
1096.8,267.0,498.9,3363.6,237.1,-1847.2,-1979.6,-15780.8,A,
1096.2,267.4,499.0,3363.8,237.1,-1820.4,-1985.2,-15666.8,A,
1093.3,268.4,498.3,3364.7,237.4,-1750.4,-1950.0,-15601.6,A,
1093.9,268.4,498.1,3364.5,237.7,-1694.0,-1924.4,-15562.8,A,
1093.9,268.6,497.4,3362.5,238.1,-1680.0,-1904.8,-15551.2,A,
1093.0,268.0,497.4,3362.9,239.6,-1652.4,-1854.4,-15513.2,A,
1092.8,268.0,497.7,3363.7,239.9,-1600.0,-1842.0,-15480.4,A,
1093.7,267.4,497.4,3363.7,240.1,-1540.8,-1798.8,-15394.8,A,
1093.8,268.4,498.2,3363.6,240.1,-1494.0,-1831.6,-15319.2,A,
1092.5,270.7,498.7,3364.8,240.6,-1469.2,-1880.0,-15265.2,A,
1091.8,270.3,497.9,3364.4,240.8,-1454.4,-1927.2,-15279.2,A,
1089.3,270.6,497.4,3364.7,240.8,-1420.4,-2018.8,-15357.6,A,
1092.2,269.7,497.7,3364.3,240.2,-1428.0,-2065.6,-15461.2,A,
1091.7,270.3,497.7,3364.7,242.0,-1392.8,-2106.0,-15558.8,A,
